Postcode,average_energy_efficiency_rating
AB10 6LZ,65.05882352941177
AB10 6NA,55.10526315789474
AB10 6NB,61.111111111111114
AB10 6ND,49.142857142857146
AB10 6NJ,57.0
AB10 6NL,64.92857142857143
AB10 6NN,65.33333333333333
AB10 6NP,73.44827586206897
AB10 6NQ,59.666666666666664
AB10 6NR,55.44444444444444
AB10 6NU,56.0
AB10 6NW,49.0
AB10 6NY,75.94117647058823
AB10 6NZ,56.42857142857143
AB10 6PA,63.40909090909091
AB10 6PB,59.916666666666664
AB10 6PD,54.714285714285715
AB10 6PE,66.28571428571429
AB10 6PF,79.95238095238095
AB10 6PG,61.5
AB10 6PH,55.6
AB10 6PJ,60.0
AB10 6PL,55.785714285714285
AB10 6PN,56.354838709677416
AB10 6PP,70.47727272727273
AB10 6PQ,62.5
AB10 6PR,64.52380952380952
AB10 6PS,59.125
AB10 6PT,61.4
AB10 6PU,64.4
AB10 6PW,75.84615384615384
AB10 6PX,59.87179487179487
AB10 6PY,64.52941176470588
AB10 6PZ,50.0
AB10 6QA,58.48837209302326
AB10 6QB,64.76190476190476
AB10 6QD,59.869565217391305
AB10 6QE,74.81632653061224
AB10 6QF,65.04545454545455
AB10 6QG,49.44444444444444
AB10 6QH,50.875
AB10 6QJ,60.94230769230769
AB10 6QL,62.24242424242424
AB10 6QN,61.80952380952381
AB10 6QP,68.65217391304348
AB10 6QQ,60.75
AB10 6QR,60.958333333333336
AB10 6QS,66.07692307692308
AB10 6QT,67.625
AB10 6QU,53.625
AB10 6QW,63.8
AB10 6QX,60.5625
AB10 6QY,65.125
AB10 6QZ,72.0
AB10 6RA,72.86842105263158
AB10 6RB,65.35
AB10 6RD,63.333333333333336
AB10 6RE,61.875
AB10 6RF,65.48
AB10 6RG,72.57142857142857
AB10 6RH,65.54545454545455
AB10 6RJ,53.916666666666664
AB10 6RL,49.0
AB10 6RN,56.25
AB10 6RP,59.42857142857143
AB10 6RQ,57.285714285714285
AB10 6RR,55.0
AB10 6RS,56.0
AB10 6RT,56.925925925925924
AB10 6RU,60.42857142857143
AB10 6RW,61.0
AB10 6RX,62.23529411764706
AB10 6RY,53.857142857142854
AB10 6SA,62.73529411764706
AB10 6SB,63.535714285714285
AB10 6SD,60.333333333333336
AB10 6SE,54.833333333333336
AB10 6SF,59.875
AB10 6SG,49.666666666666664
AB10 6SH,54.2
AB10 6SJ,64.08108108108108
AB10 6SL,61.395348837209305
AB10 6SN,76.42222222222222
AB10 6SP,62.7
AB10 6SQ,66.83333333333333
AB10 6SR,60.1875
AB10 6SS,60.8
AB10 6ST,78.33333333333333
AB10 6SU,62.333333333333336
AB10 6SX,62.34782608695652
AB10 6SY,65.28571428571429
AB10 6TA,63.25
AB10 6TB,63.68
AB10 6TD,59.607142857142854
AB10 6TE,71.26470588235294
AB10 6TF,64.0
AB10 6TG,68.0
AB10 6TH,85.05263157894737
AB10 6TJ,57.61904761904762
AB10 6TP,64.11764705882354
AB10 6TQ,67.03225806451613
AB10 6TR,61.58620689655172
AB10 6TS,63.52
AB10 6UQ,64.46153846153847
AB10 6UR,63.05263157894737
AB10 6US,63.69230769230769
AB10 6UT,60.2
AB10 6UX,56.30769230769231
AB10 6WE,68.06666666666666
AB10 6XA,51.6
AB10 6XB,67.52941176470588
AB10 6XD,60.625
AB10 6XE,58.5
AB10 6XF,75.33333333333333
AB10 6XH,59.666666666666664
AB10 6XJ,57.42857142857143
AB10 6XL,65.91666666666667
AB10 6XN,58.791666666666664
AB10 6XP,63.294117647058826
AB10 6XQ,61.4375
AB10 6XR,61.93333333333333
AB10 6XS,64.88571428571429
AB10 6XT,63.25
AB10 6XX,65.33333333333333
AB10 6YA,64.72222222222223
AB10 7AA,67.15
AB10 7AB,62.0
AB10 7AD,64.33333333333333
AB10 7AE,59.0
AB10 7AF,76.2
AB10 7AG,66.35714285714286
AB10 7AH,65.88235294117646
AB10 7AJ,68.35897435897436
AB10 7AL,68.10810810810811
AB10 7AN,70.22857142857143
AB10 7AP,69.0
AB10 7AR,69.13636363636364
AB10 7AS,59.0
AB10 7AT,56.0
AB10 7AU,64.0
AB10 7AW,68.0
AB10 7AX,65.0
AB10 7AZ,67.5
AB10 7BA,44.0
AB10 7BB,65.52631578947368
AB10 7BD,65.6086956521739
AB10 7BE,70.25
AB10 7BF,69.0
AB10 7BG,63.166666666666664
AB10 7BH,65.21621621621621
AB10 7BJ,61.833333333333336
AB10 7BL,67.625
AB10 7BN,67.33333333333333
AB10 7BP,68.88888888888889
AB10 7BQ,69.05
AB10 7BR,72.33333333333333
AB10 7BS,64.66666666666667
AB10 7BT,61.2
AB10 7BU,66.0
AB10 7BW,65.875
AB10 7BX,62.38095238095238
AB10 7BY,64.0
AB10 7BZ,71.17391304347827
AB10 7DA,64.03703703703704
AB10 7DB,62.0
AB10 7DD,64.11111111111111
AB10 7DE,69.4
AB10 7DF,67.75
AB10 7DG,71.41666666666667
AB10 7DH,67.0
AB10 7DJ,73.5625
AB10 7DL,65.04545454545455
AB10 7DN,61.36363636363637
AB10 7DP,64.93333333333334
AB10 7DQ,68.91304347826087
AB10 7DR,67.41176470588235
AB10 7DS,59.67741935483871
AB10 7DT,62.81818181818182
AB10 7DU,59.833333333333336
AB10 7DX,82.1025641025641
AB10 7DY,64.73333333333333
AB10 7DZ,72.2
AB10 7EA,67.65384615384616
AB10 7EB,62.9375
AB10 7ED,68.46666666666667
AB10 7EE,61.714285714285715
AB10 7EF,58.05882352941177
AB10 7EG,66.66666666666667
AB10 7EH,68.0
AB10 7EJ,67.0
AB10 7EL,70.83333333333333
AB10 7EN,69.74193548387096
AB10 7EP,57.75
AB10 7EQ,62.05263157894737
AB10 7ER,58.45454545454545
AB10 7ES,66.0909090909091
AB10 7ET,63.916666666666664
AB10 7EU,65.45454545454545
AB10 7EW,65.16666666666667
AB10 7EX,62.15384615384615
AB10 7EY,69.0
AB10 7EZ,63.9
AB10 7FA,75.11111111111111
AB10 7FB,44.0
AB10 7FD,56.55555555555556
AB10 7FE,53.76470588235294
AB10 7FF,57.5
AB10 7FG,70.625
AB10 7FH,73.35
AB10 7FJ,57.55555555555556
AB10 7FL,58.421052631578945
AB10 7FN,61.578947368421055
AB10 7FP,54.95454545454545
AB10 7FQ,61.07692307692308
AB10 7FR,62.2
AB10 7FS,74.22222222222223
AB10 7FT,66.0
AB10 7FW,61.785714285714285
AB10 7FX,48.333333333333336
AB10 7FZ,58.75
AB10 7GA,70.33333333333333
AB10 7GB,73.66666666666667
AB10 7GD,67.05
AB10 7GF,80.5
AB10 7GG,79.66666666666667
AB10 7GH,72.25
AB10 7GR,75.125
AB10 7GS,60.77777777777778
AB10 7GT,59.142857142857146
AB10 7GU,69.0
AB10 7GW,71.0
AB10 7GX,60.9375
AB10 7GY,64.6470588235294
AB10 7GZ,68.16
AB10 7HA,63.6
AB10 7HB,69.46428571428571
AB10 7HD,70.4888888888889
AB10 7HE,64.7
AB10 7HF,73.72727272727273
AB10 7HG,68.56818181818181
AB10 7HH,63.857142857142854
AB10 7HJ,63.34782608695652
AB10 7HL,68.85106382978724
AB10 7HN,56.666666666666664
AB10 7HP,61.46666666666667
AB10 7HQ,63.72727272727273
AB10 7HR,62.903225806451616
AB10 7HS,66.5
AB10 7HT,69.6875
AB10 7HU,71.06666666666666
AB10 7HW,71.70967741935483
AB10 7HX,69.4
AB10 7HY,66.08333333333333
AB10 7HZ,68.23404255319149
AB10 7JA,66.66666666666667
AB10 7JB,55.0
AB10 7JD,69.0
AB10 7JE,61.25
AB10 7JF,66.14285714285714
AB10 7JG,58.125
AB10 7JH,59.8235294117647
AB10 7JJ,63.0
AB10 7JN,67.75
AB10 7JP,65.76923076923077
AB10 7JQ,65.57142857142857
AB10 7JR,70.55882352941177
AB10 7JS,70.93333333333334
AB10 7JT,68.85714285714286
AB10 7JU,57.5
AB10 7JW,60.111111111111114
AB10 7JX,65.38095238095238
AB10 7JY,58.53846153846154
AB10 7JZ,53.0
AB10 7LA,63.526315789473685
AB10 7LB,64.0
AB10 7LD,67.9090909090909
AB10 7LE,67.0
AB10 7LF,55.666666666666664
AB10 7LH,65.65714285714286
AB10 7LJ,57.0
AB10 7LL,58.0
AB10 7LN,77.26666666666667
AB10 7LP,60.666666666666664
AB10 7LQ,58.5
AB10 7LR,60.0
AB10 7LS,49.0
AB10 7LT,60.875
AB10 7LU,66.42307692307692
AB10 7LW,66.66666666666667
AB10 7LX,57.666666666666664
AB10 7LY,53.61538461538461
AB10 7LZ,65.0
AB10 7NA,44.5
AB10 7NB,74.6
AB10 7ND,63.333333333333336
AB10 7NE,53.75
AB10 7NF,73.9090909090909
AB10 7NG,45.333333333333336
AB10 7NH,55.5
AB10 7NJ,62.5
AB10 7NL,71.16666666666667
AB10 7NN,53.166666666666664
AB10 7NP,54.8
AB10 7NQ,55.3
AB10 7NR,51.3125
AB10 7NS,55.705882352941174
AB10 7NT,57.5
AB10 7NU,56.38461538461539
AB10 7NW,58.42857142857143
AB10 7NX,52.15384615384615
AB10 7NY,53.45454545454545
AB10 7NZ,60.0
AB10 7PA,64.83333333333333
AB10 7PB,59.53846153846154
AB10 7PD,50.57142857142857
AB10 7PE,59.5
AB10 7PF,59.5
AB10 7PG,69.0909090909091
AB10 7PH,55.125
AB10 7PL,52.77777777777778
AB10 7PP,54.333333333333336
AB10 7PQ,52.8
AB10 7PR,55.27272727272727
AB10 7PS,59.15
AB10 7PT,58.53846153846154
AB10 7PU,45.5
AB10 7PW,42.0
AB10 7PY,54.0
AB10 7QF,74.87179487179488
AB10 7UG,73.6842105263158
AB11 5AA,65.38709677419355
AB11 5AB,64.25925925925925
AB11 5AD,55.75
AB11 5AH,66.1
AB11 5AJ,58.666666666666664
AB11 5AL,64.7
AB11 5AP,75.1875
AB11 5AQ,64.25
AB11 5AR,59.22222222222222
AB11 5AT,57.25
AB11 5AU,80.5
AB11 5AW,76.0
AB11 5AX,69.97435897435898
AB11 5BB,55.9375
AB11 5BE,54.36363636363637
AB11 5BF,68.7
AB11 5BG,49.875
AB11 5BJ,50.25
AB11 5BL,63.46153846153846
AB11 5BN,66.94444444444444
AB11 5BP,56.35294117647059
AB11 5BQ,65.82608695652173
AB11 5BT,66.44444444444444
AB11 5BY,39.5
AB11 5BZ,46.666666666666664
AB11 5DG,61.285714285714285
AB11 5DQ,65.0
AB11 5DR,56.166666666666664
AB11 5DS,56.642857142857146
AB11 5DT,59.75
AB11 5DU,61.333333333333336
AB11 5DW,62.0
AB11 5DX,56.285714285714285
AB11 5DZ,70.83333333333333
AB11 5EP,56.72727272727273
AB11 5ER,81.54054054054055
AB11 5EU,57.75
AB11 5FA,66.4
AB11 5FP,72.11111111111111
AB11 5FU,61.0
AB11 5GD,65.5
AB11 5GE,70.58333333333333
AB11 5GJ,67.0
AB11 5HP,81.02222222222223
AB11 5HR,69.0909090909091
AB11 5HS,59.476190476190474
AB11 5HX,27.636363636363637
AB11 5JH,64.25
AB11 5LY,72.0
AB11 5PD,66.38888888888889
AB11 5PL,61.8235294117647
AB11 5PP,61.583333333333336
AB11 5PQ,66.0
AB11 5PY,46.111111111111114
AB11 5QE,64.42105263157895
AB11 5QN,75.83333333333333
AB11 5QP,80.0
AB11 6AF,70.17021276595744
AB11 6AR,72.0
AB11 6AW,75.77272727272727
AB11 6AY,72.4
AB11 6BA,43.5
AB11 6BB,52.27272727272727
AB11 6BH,58.9
AB11 6BR,64.38461538461539
AB11 6BS,51.7
AB11 6BT,58.666666666666664
AB11 6DA,71.85714285714286
AB11 6DD,77.73684210526316
AB11 6DE,79.57894736842105
AB11 6DJ,69.33333333333333
AB11 6DL,71.33333333333333
AB11 6DP,61.80952380952381
AB11 6DQ,71.33333333333333
AB11 6DS,65.675
AB11 6DU,60.25
AB11 6DX,73.5
AB11 6DY,54.0
AB11 6EA,56.166666666666664
AB11 6EB,62.1875
AB11 6ED,61.46153846153846
AB11 6EE,59.5
AB11 6EF,59.333333333333336
AB11 6EG,75.0
AB11 6EH,72.42857142857143
AB11 6EJ,56.916666666666664
AB11 6EL,55.6
AB11 6EN,59.75
AB11 6ER,76.0
AB11 6ES,68.78571428571429
AB11 6ET,73.14285714285714
AB11 6EU,61.0
AB11 6EW,69.0
AB11 6EX,59.93333333333333
AB11 6EY,76.26315789473684
AB11 6EZ,54.5
AB11 6FB,59.46938775510204
AB11 6FF,68.38235294117646
AB11 6FG,74.6
AB11 6FJ,72.4090909090909
AB11 6FL,75.72222222222223
AB11 6FN,69.21428571428571
AB11 6FP,71.20833333333333
AB11 6FR,64.11111111111111
AB11 6FS,77.41176470588235
AB11 6FW,71.28571428571429
AB11 6HA,69.22727272727273
AB11 6HB,60.142857142857146
AB11 6HD,77.16666666666667
AB11 6HE,60.470588235294116
AB11 6HJ,61.25
AB11 6HL,58.916666666666664
AB11 6HN,61.0
AB11 6HP,66.36363636363636
AB11 6HQ,63.333333333333336
AB11 6HR,78.0
AB11 6HS,65.85714285714286
AB11 6HT,67.27272727272727
AB11 6HW,70.66666666666667
AB11 6HX,65.0
AB11 6JA,59.130434782608695
AB11 6JB,65.3103448275862
AB11 6JD,64.24137931034483
AB11 6JE,72.76470588235294
AB11 6JG,58.8
AB11 6JH,78.13888888888889
AB11 6JJ,49.15
AB11 6JL,54.2
AB11 6JN,59.666666666666664
AB11 6JR,71.3103448275862
AB11 6JS,76.125
AB11 6JY,64.57142857142857
AB11 6JZ,66.14285714285714
AB11 6LA,76.61111111111111
AB11 6LD,77.56862745098039
AB11 6LG,80.86206896551724
AB11 6LJ,63.23809523809524
AB11 6LL,67.14814814814815
AB11 6LN,79.56521739130434
AB11 6LP,68.33333333333333
AB11 6LQ,61.588235294117645
AB11 6LR,63.095238095238095
AB11 6LS,61.07142857142857
AB11 6LU,63.266666666666666
AB11 6LW,64.0
AB11 6LZ,71.625
AB11 6NB,57.529411764705884
AB11 6ND,50.4
AB11 6NE,45.0
AB11 6NL,69.0
AB11 6NQ,73.0
AB11 6NR,69.88888888888889
AB11 6NT,80.18181818181819
AB11 6NU,64.38461538461539
AB11 6NY,61.714285714285715
AB11 6NZ,70.5
AB11 6PE,60.0
AB11 6PH,57.65853658536585
AB11 6PJ,65.0
AB11 6QD,74.61904761904762
AB11 6QF,52.3
AB11 6RG,72.4
AB11 6RR,64.22222222222223
AB11 6SQ,61.13157894736842
AB11 6SR,61.476190476190474
AB11 6SS,64.3076923076923
AB11 6SY,80.22448979591837
AB11 6SZ,81.17307692307692
AB11 6TA,74.8
AB11 6TB,75.375
AB11 6TD,76.66666666666667
AB11 6TE,74.4
AB11 6TF,75.22222222222223
AB11 6TG,74.87878787878788
AB11 6TH,77.36363636363636
AB11 6TJ,75.88636363636364
AB11 6TL,65.94285714285714
AB11 6TN,66.0
AB11 6TP,62.31578947368421
AB11 6TQ,56.40909090909091
AB11 6TR,67.20833333333333
AB11 6TS,60.69230769230769
AB11 6TT,58.0
AB11 6TX,56.5625
AB11 6TZ,67.0
AB11 6UA,52.0
AB11 6UB,59.27272727272727
AB11 6UJ,64.41176470588235
AB11 6UL,64.0
AB11 6UN,39.5
AB11 6UP,64.84615384615384
AB11 6UQ,63.06122448979592
AB11 6US,76.14814814814815
AB11 6UT,75.64444444444445
AB11 6UU,75.04545454545455
AB11 6UW,76.3125
AB11 6UX,61.583333333333336
AB11 6UY,58.89473684210526
AB11 6WF,73.67647058823529
AB11 6WH,74.70370370370371
AB11 6XA,71.55555555555556
AB11 6XB,74.86666666666666
AB11 6XD,57.93333333333333
AB11 6XE,63.285714285714285
AB11 6XJ,59.76923076923077
AB11 6XL,78.38095238095238
AB11 6XN,61.166666666666664
AB11 6XP,62.12
AB11 6XQ,64.04761904761905
AB11 6XR,60.88
AB11 6XS,62.8235294117647
AB11 6XT,63.81818181818182
AB11 6XW,70.5625
AB11 6XX,61.61764705882353
AB11 6YA,74.66666666666667
AB11 6YB,55.351351351351354
AB11 6YD,73.0
AB11 6YH,67.2
AB11 6YU,58.416666666666664
AB11 7BH,58.666666666666664
AB11 7DF,78.21428571428571
AB11 7DG,78.61818181818182
AB11 7LG,65.28571428571429
AB11 7RQ,65.4
AB11 7RS,74.25862068965517
AB11 7RT,37.0
AB11 7RX,69.19047619047619
AB11 7RY,52.333333333333336
AB11 7RZ,67.0
AB11 7SA,57.16
AB11 7SB,59.125
AB11 7SD,56.333333333333336
AB11 7SE,59.6578947368421
AB11 7SF,60.57142857142857
AB11 7SG,41.666666666666664
AB11 7SJ,67.33333333333333
AB11 7SP,56.75
AB11 7SQ,75.5625
AB11 7SR,82.21052631578948
AB11 7ST,45.733333333333334
AB11 7SW,68.07142857142857
AB11 7SX,63.885714285714286
AB11 7SY,61.92857142857143
AB11 7SZ,60.294117647058826
AB11 7TA,66.3
AB11 7TB,69.79310344827586
AB11 7TD,60.09090909090909
AB11 7TE,60.07692307692308
AB11 7TF,63.48148148148148
AB11 7TH,52.42857142857143
AB11 7TJ,54.666666666666664
AB11 7TU,64.91666666666667
AB11 7TW,61.4375
AB11 7TY,62.76923076923077
AB11 7TZ,57.125
AB11 7UE,59.8
AB11 7UF,59.44444444444444
AB11 7UG,61.4
AB11 7UH,54.57142857142857
AB11 7UR,64.88571428571429
AB11 7US,52.0
AB11 7UU,68.0
AB11 7UW,62.333333333333336
AB11 7WA,66.5
AB11 7WB,58.5
AB11 7WD,65.875
AB11 7WE,76.5909090909091
AB11 7WF,75.5
AB11 7WG,69.41666666666667
AB11 7XH,64.6923076923077
AB11 7XU,68.33333333333333
AB11 7XY,52.1875
AB11 7XZ,56.25
AB11 7YZ,68.66666666666667
AB11 8AB,83.12244897959184
AB11 8AD,83.25806451612904
AB11 8BJ,61.8
AB11 8BL,59.083333333333336
AB11 8BN,65.18181818181819
AB11 8BP,62.642857142857146
AB11 8BQ,60.611111111111114
AB11 8BR,67.03846153846153
AB11 8BS,66.5
AB11 8BT,68.46153846153847
AB11 8BU,65.94736842105263
AB11 8BW,70.0
AB11 8BX,70.61290322580645
AB11 8BY,60.0
AB11 8DA,64.25
AB11 8DB,64.3
AB11 8DD,54.75
AB11 8DE,56.666666666666664
AB11 8DG,72.0
AB11 8DH,58.666666666666664
AB11 8DJ,60.07142857142857
AB11 8DL,64.78260869565217
AB11 8DN,65.38461538461539
AB11 8DP,68.5
AB11 8DQ,60.421052631578945
AB11 8DR,72.76923076923077
AB11 8DS,71.9090909090909
AB11 8DT,66.14285714285714
AB11 8DU,47.0
AB11 8DX,62.26315789473684
AB11 8DY,66.0
AB11 8EA,60.09090909090909
AB11 8EB,61.0
AB11 8ED,54.888888888888886
AB11 8EE,51.0
AB11 8EG,57.5
AB11 8EH,63.13636363636363
AB11 8EJ,62.6875
AB11 8EL,64.22222222222223
AB11 8EN,62.3
AB11 8EP,66.58333333333333
AB11 8EQ,69.15384615384616
AB11 8ES,66.72727272727273
AB11 8ET,35.333333333333336
AB11 8EU,63.0
AB11 8EW,56.2
AB11 8EX,73.0
AB11 8EY,63.666666666666664
AB11 8FA,62.411764705882355
AB11 8FB,70.5
AB11 8FD,61.81818181818182
AB11 8FL,54.333333333333336
AB11 8FP,60.0
AB11 8FR,62.416666666666664
AB11 8FS,66.93333333333334
AB11 8FT,67.15
AB11 8FX,62.0
AB11 8GA,60.25
AB11 8HA,57.875
AB11 8HB,72.69444444444444
AB11 8HD,72.21052631578948
AB11 8HE,64.3125
AB11 8HF,76.0
AB11 8HH,56.416666666666664
AB11 8HJ,61.42857142857143
AB11 8HL,59.8
AB11 8HN,72.59183673469387
AB11 8HP,64.5
AB11 8HR,74.36363636363636
AB11 8HT,59.5
AB11 8HU,71.15
AB11 8HW,68.18181818181819
AB11 8HX,70.26315789473684
AB11 8HY,70.75
AB11 8JA,69.8
AB11 8JB,69.14285714285714
AB11 8JR,65.36363636363636
AB11 8JU,69.48148148148148
AB11 8JW,65.6086956521739
AB11 8LG,67.92307692307692
AB11 8LH,71.77777777777777
AB11 8LL,69.6923076923077
AB11 8LN,71.25
AB11 8LQ,68.0
AB11 8QX,49.142857142857146
AB11 8RE,66.33333333333333
AB11 8RH,60.8
AB11 8RJ,53.4
AB11 8RL,67.42857142857143
AB11 8RN,70.11764705882354
AB11 8RP,74.0
AB11 8RQ,64.25
AB11 8RS,70.0
AB11 8RT,61.5
AB11 8RU,67.1875
AB11 8RX,68.0
AB11 8RY,66.2
AB11 8RZ,30.0
AB11 8SA,63.666666666666664
AB11 8SB,77.36363636363636
AB11 8SD,69.15384615384616
AB11 8SE,67.81818181818181
AB11 8SF,78.82608695652173
AB11 8SH,70.0
AB11 8SJ,67.76923076923077
AB11 8SL,69.22222222222223
AB11 8SN,66.66666666666667
AB11 8SP,65.71428571428571
AB11 8SQ,67.84210526315789
AB11 8SR,67.33333333333333
AB11 8SS,66.625
AB11 8ST,64.5
AB11 8SU,66.33333333333333
AB11 8SW,79.6086956521739
AB11 8SX,65.6
AB11 8SY,78.31111111111112
AB11 8TA,64.88888888888889
AB11 8TB,66.73913043478261
AB11 8TD,69.66666666666667
AB11 8TE,65.0
AB11 8TF,74.85714285714286
AB11 8TH,70.25
AB11 8TJ,55.2
AB11 8TL,79.38461538461539
AB11 8TN,67.375
AB11 8TP,73.57142857142857
AB11 8TQ,57.166666666666664
AB11 8TR,60.0
AB11 8TS,78.44444444444444
AB11 8TT,69.7
AB11 8TU,72.63636363636364
AB11 8TW,71.6086956521739
AB11 8TX,71.54838709677419
